date,S,K,T,type,price
2023-01-23,3349.950000,4019.940000,0.493151,P,621.488209
2023-01-24,3364.000000,2691.200000,0.082192,C,683.848387
2023-01-24,3364.000000,2691.200000,0.082192,P,0.011355
2023-01-24,3364.000000,3027.600000,0.082192,C,352.757187
2023-01-24,3364.000000,3027.600000,0.082192,P,3.940527
2023-01-24,3364.000000,3364.000000,0.082192,C,94.103970
2023-01-24,3364.000000,3364.000000,0.082192,P,80.307680
2023-01-24,3364.000000,3700.400000,0.082192,C,8.349053
2023-01-24,3364.000000,3700.400000,0.082192,P,329.573134
2023-01-24,3364.000000,4036.800000,0.082192,C,0.219480
2023-01-24,3364.000000,4036.800000,0.082192,P,656.463932
2023-01-24,3364.000000,2691.200000,0.246575,C,708.006115
2023-01-24,3364.000000,2691.200000,0.246575,P,2.230628
2023-01-24,3364.000000,3027.600000,0.246575,C,400.801697
2023-01-24,3364.000000,3027.600000,0.246575,P,27.304274
2023-01-24,3364.000000,3364.000000,0.246575,C,171.582452
2023-01-24,3364.000000,3364.000000,0.246575,P,130.363093
2023-01-24,3364.000000,3700.400000,0.246575,C,52.988048
2023-01-24,3364.000000,3700.400000,0.246575,P,344.046754
2023-01-24,3364.000000,4036.800000,0.246575,C,11.813453
2023-01-24,3364.000000,4036.800000,0.246575,P,635.150223
2023-01-24,3364.000000,2691.200000,0.493151,C,750.509039
2023-01-24,3364.000000,2691.200000,0.493151,P,12.162117
2023-01-24,3364.000000,3027.600000,0.493151,C,468.737050
2023-01-24,3364.000000,3027.600000,0.493151,P,58.596762
2023-01-24,3364.000000,3364.000000,0.493151,C,254.317739
2023-01-24,3364.000000,3364.000000,0.493151,P,172.384086
2023-01-24,3364.000000,3700.400000,0.493151,C,119.609572
2023-01-24,3364.000000,3700.400000,0.493151,P,365.882554
2023-01-24,3364.000000,4036.800000,0.493151,C,49.065704
2023-01-24,3364.000000,4036.800000,0.493151,P,623.545320
2023-01-25,3356.620000,2685.296000,0.082192,C,682.336820
2023-01-25,3356.620000,2685.296000,0.082192,P,0.000002
2023-01-25,3356.620000,3020.958000,0.082192,C,348.302824
2023-01-25,3356.620000,3020.958000,0.082192,P,0.251403
2023-01-25,3356.620000,3356.620000,0.082192,C,64.967749
2023-01-25,3356.620000,3356.620000,0.082192,P,51.201726
2023-01-25,3356.620000,3692.282000,0.082192,C,0.959565
2023-01-25,3356.620000,3692.282000,0.082192,P,321.478940
2023-01-25,3356.620000,4027.944000,0.082192,C,0.000640
2023-01-25,3356.620000,4027.944000,0.082192,P,654.805412
2023-01-25,3356.620000,2685.296000,0.246575,C,704.278221
2023-01-25,3356.620000,2685.296000,0.246575,P,0.051076
2023-01-25,3356.620000,3020.958000,0.246575,C,378.590867
2023-01-25,3356.620000,3020.958000,0.246575,P,5.912829
2023-01-25,3356.620000,3356.620000,0.246575,C,121.638933
2023-01-25,3356.620000,3356.620000,0.246575,P,80.510002
2023-01-25,3356.620000,3692.282000,0.246575,C,17.767220
2023-01-25,3356.620000,3692.282000,0.246575,P,308.187396
2023-01-25,3356.620000,4027.944000,0.246575,C,1.099243
2023-01-25,3356.620000,4027.944000,0.246575,P,623.068526
2023-01-25,3356.620000,2685.296000,0.493151,C,737.756137
2023-01-25,3356.620000,2685.296000,0.493151,P,1.029012
2023-01-25,3356.620000,3020.958000,0.493151,C,426.967298
2023-01-25,3356.620000,3020.958000,0.493151,P,17.726783
2023-01-25,3356.620000,3356.620000,0.493151,C,184.792802
2023-01-25,3356.620000,3356.620000,0.493151,P,103.038896
2023-01-25,3356.620000,3692.282000,0.493151,C,55.706080
2023-01-25,3356.620000,3692.282000,0.493151,P,301.438784
2023-01-25,3356.620000,4027.944000,0.493151,C,11.614917
2023-01-25,3356.620000,4027.944000,0.493151,P,584.834230
2023-01-26,3357.390000,2685.912000,0.082192,C,682.493345
2023-01-26,3357.390000,2685.912000,0.082192,P,0.000000
2023-01-26,3357.390000,3021.651000,0.082192,C,348.131263
2023-01-26,3357.390000,3021.651000,0.082192,P,0.000000
2023-01-26,3357.390000,3357.390000,0.082192,C,32.071522
2023-01-26,3357.390000,3357.390000,0.082192,P,18.302341
2023-01-26,3357.390000,3693.129000,0.082192,C,0.000004
2023-01-26,3357.390000,3693.129000,0.082192,P,320.592905
2023-01-26,3357.390000,4028.868000,0.082192,C,0.000000
2023-01-26,3357.390000,4028.868000,0.082192,P,654.954983
2023-01-26,3357.390000,2685.912000,0.246575,C,704.388693
2023-01-26,3357.390000,2685.912000,0.246575,P,0.000000
2023-01-26,3357.390000,3021.651000,0.246575,C,372.766169
2023-01-26,3357.390000,3021.651000,0.246575,P,0.002639
2023-01-26,3357.390000,3357.390000,0.246575,C,66.095753
2023-01-26,3357.390000,3357.390000,0.246575,P,24.957388
2023-01-26,3357.390000,3693.129000,0.246575,C,0.158176
2023-01-26,3357.390000,3693.129000,0.246575,P,290.644974
2023-01-26,3357.390000,4028.868000,0.246575,C,0.000001
2023-01-26,3357.390000,4028.868000,0.246575,P,622.111962
2023-01-26,3357.390000,2685.912000,0.493151,C,736.896128
2023-01-26,3357.390000,2685.912000,0.493151,P,0.000000
2023-01-26,3357.390000,3021.651000,0.493151,C,409.414969
2023-01-26,3357.390000,3021.651000,0.493151,P,0.080575
2023-01-26,3357.390000,3357.390000,0.493151,C,109.174206
2023-01-26,3357.390000,3357.390000,0.493151,P,27.401546
2023-01-26,3357.390000,3693.129000,0.493151,C,3.898857
2023-01-26,3357.390000,3693.129000,0.493151,P,249.687931
2023-01-26,3357.390000,4028.868000,0.493151,C,0.009141
2023-01-26,3357.390000,4028.868000,0.493151,P,573.359949
2023-01-30,3303.460000,2642.768000,0.082192,C,671.530404
2023-01-30,3303.460000,2642.768000,0.082192,P,0.000000
2023-01-30,3303.460000,2973.114000,0.082192,C,342.542891
2023-01-30,3303.460000,2973.114000,0.082192,P,0.003686
2023-01-30,3303.460000,3303.460000,0.082192,C,47.160810
2023-01-30,3303.460000,3303.460000,0.082192,P,33.612804
2023-01-30,3303.460000,3633.806000,0.082192,C,0.040279
2023-01-30,3303.460000,3633.806000,0.082192,P,315.483473
2023-01-30,3303.460000,3964.152000,0.082192,C,0.000000
2023-01-30,3303.460000,3964.152000,0.082192,P,644.434393
2023-01-30,3303.460000,2642.768000,0.246575,C,693.074166
2023-01-30,3303.460000,2642.768000,0.246575,P,0.000120
2023-01-30,3303.460000,2973.114000,0.246575,C,367.508516
2023-01-30,3303.460000,2973.114000,0.246575,P,0.732714
2023-01-30,3303.460000,3303.460000,0.246575,C,91.149354
2023-01-30,3303.460000,3303.460000,0.246575,P,50.671797
2023-01-30,3303.460000,3633.806000,0.246575,C,4.485425
2023-01-30,3303.460000,3633.806000,0.246575,P,290.306112
2023-01-30,3303.460000,3964.152000,0.246575,C,0.031208
2023-01-30,3303.460000,3964.152000,0.246575,P,612.150140
2023-01-30,3303.460000,2642.768000,0.493151,C,725.084315
2023-01-30,3303.460000,2642.768000,0.493151,P,0.025003
2023-01-30,3303.460000,2973.114000,0.493151,C,406.540349
2023-01-30,3303.460000,2973.114000,0.493151,P,3.781123
2023-01-30,3303.460000,3303.460000,0.493151,C,142.503684
2023-01-30,3303.460000,3303.460000,0.493151,P,62.044544
2023-01-30,3303.460000,3633.806000,0.493151,C,23.475802
2023-01-30,3303.460000,3633.806000,0.493151,P,265.316749
2023-01-30,3303.460000,3964.152000,0.493151,C,1.647773
2023-01-30,3303.460000,3964.152000,0.493151,P,565.788806
2023-01-31,3303.270000,2642.616000,0.082192,C,671.491781
2023-01-31,3303.270000,2642.616000,0.082192,P,0.000000
2023-01-31,3303.270000,2972.943000,0.082192,C,342.521799
2023-01-31,3303.270000,2972.943000,0.082192,P,0.002296
2023-01-31,3303.270000,3303.270000,0.082192,C,45.995776
2023-01-31,3303.270000,3303.270000,0.082192,P,32.448549
2023-01-31,3303.270000,3633.597000,0.082192,C,0.028265
2023-01-31,3303.270000,3633.597000,0.082192,P,315.453316
2023-01-31,3303.270000,3963.924000,0.082192,C,0.000000
2023-01-31,3303.270000,3963.924000,0.082192,P,644.397328
2023-01-31,3303.270000,2642.616000,0.246575,C,693.034243
2023-01-31,3303.270000,2642.616000,0.246575,P,0.000060
2023-01-31,3303.270000,2972.943000,0.246575,C,367.338699
2023-01-31,3303.270000,2972.943000,0.246575,P,0.583993
2023-01-31,3303.270000,3303.270000,0.246575,C,89.176891
2023-01-31,3303.270000,3303.270000,0.246575,P,48.701662
2023-01-31,3303.270000,3633.597000,0.246575,C,3.877758
2023-01-31,3303.270000,3633.597000,0.246575,P,289.682006
2023-01-31,3303.270000,3963.924000,0.246575,C,0.021026
2023-01-31,3303.270000,3963.924000,0.246575,P,612.104751
2023-01-31,3303.270000,2642.616000,0.493151,C,725.034033
2023-01-31,3303.270000,2642.616000,0.493151,P,0.016423
2023-01-31,3303.270000,2972.943000,0.493151,C,405.970121
2023-01-31,3303.270000,2972.943000,0.493151,P,3.234060
2023-01-31,3303.270000,3303.270000,0.493151,C,139.808189
2023-01-31,3303.270000,3303.270000,0.493151,P,59.353677
2023-01-31,3303.270000,3633.597000,0.493151,C,21.557271
2023-01-31,3303.270000,3633.597000,0.493151,P,263.384308
2023-01-31,3303.270000,3963.924000,0.493151,C,1.337214
2023-01-31,3303.270000,3963.924000,0.493151,P,565.445800
2023-02-01,3347.920000,2678.336000,0.082192,C,680.568274
2023-02-01,3347.920000,2678.336000,0.082192,P,0.000000
2023-02-01,3347.920000,3013.128000,0.082192,C,347.172427
2023-02-01,3347.920000,3013.128000,0.082192,P,0.023118
2023-02-01,3347.920000,3347.920000,0.082192,C,53.311705
2023-02-01,3347.920000,3347.920000,0.082192,P,39.581362
2023-02-01,3347.920000,3682.712000,0.082192,C,0.157100
2023-02-01,3347.920000,3682.712000,0.082192,P,319.845722
2023-02-01,3347.920000,4017.504000,0.082192,C,0.000003
2023-02-01,3347.920000,4017.504000,0.082192,P,653.107591
2023-02-01,3347.920000,2678.336000,0.246575,C,702.403553
2023-02-01,3347.920000,2678.336000,0.246575,P,0.001690
2023-02-01,3347.920000,3013.128000,0.246575,C,373.482118
2023-02-01,3347.920000,3013.128000,0.246575,P,1.770022
2023-02-01,3347.920000,3347.920000,0.246575,C,101.737503
2023-02-01,3347.920000,3347.920000,0.246575,P,60.715174
2023-02-01,3347.920000,3682.712000,0.246575,C,7.918372
2023-02-01,3347.920000,3682.712000,0.246575,P,297.585810
2023-02-01,3347.920000,4017.504000,0.246575,C,0.145845
2023-02-01,3347.920000,4017.504000,0.246575,P,620.503050
2023-02-01,3347.920000,2678.336000,0.493151,C,734.942486
2023-02-01,3347.920000,2678.336000,0.493151,P,0.124880
2023-02-01,3347.920000,3013.128000,0.493151,C,415.386667
2023-02-01,3347.920000,3013.128000,0.493151,P,7.206860
2023-02-01,3347.920000,3347.920000,0.493151,C,157.261728
2023-02-01,3347.920000,3347.920000,0.493151,P,75.719720
2023-02-01,3347.920000,3682.712000,0.493151,C,33.318547
2023-02-01,3347.920000,3682.712000,0.493151,P,278.414338
2023-02-01,3347.920000,4017.504000,0.493151,C,3.757172
2023-02-01,3347.920000,4017.504000,0.493151,P,575.490762
2023-02-02,3365.250000,2692.200000,0.082192,C,684.091133
2023-02-02,3365.250000,2692.200000,0.082192,P,0.000000
2023-02-02,3365.250000,3028.725000,0.082192,C,348.963808
2023-02-02,3365.250000,3028.725000,0.082192,P,0.017533
2023-02-02,3365.250000,3365.250000,0.082192,C,52.612690
2023-02-02,3365.250000,3365.250000,0.082192,P,38.811274
2023-02-02,3365.250000,3701.775000,0.082192,C,0.128569
2023-02-02,3365.250000,3701.775000,0.082192,P,321.472011
2023-02-02,3365.250000,4038.300000,0.082192,C,0.000001
2023-02-02,3365.250000,4038.300000,0.082192,P,656.488302
2023-02-02,3365.250000,2692.200000,0.246575,C,706.038874
2023-02-02,3365.250000,2692.200000,0.246575,P,0.001134
2023-02-02,3365.250000,3028.725000,0.246575,C,375.194706
2023-02-02,3365.250000,3028.725000,0.246575,P,1.558498
2023-02-02,3365.250000,3365.250000,0.246575,C,100.606875
2023-02-02,3365.250000,3365.250000,0.246575,P,59.372200
2023-02-02,3365.250000,3701.775000,0.246575,C,7.317438
2023-02-02,3365.250000,3701.775000,0.246575,P,298.484296
2023-02-02,3365.250000,4038.300000,0.246575,C,0.115620
2023-02-02,3365.250000,4038.300000,0.246575,P,623.684010
2023-02-02,3365.250000,2692.200000,0.493151,C,738.719967
2023-02-02,3365.250000,2692.200000,0.493151,P,0.098689
2023-02-02,3365.250000,3028.725000,0.493151,C,416.879080
2023-02-02,3365.250000,3028.725000,0.493151,P,6.586391
2023-02-02,3365.250000,3365.250000,0.493151,C,155.797222
2023-02-02,3365.250000,3365.250000,0.493151,P,73.833124
2023-02-02,3365.250000,3701.775000,0.493151,C,31.677110
2023-02-02,3365.250000,3701.775000,0.493151,P,278.041602
2023-02-02,3365.250000,4038.300000,0.493151,C,3.324538
2023-02-02,3365.250000,4038.300000,0.493151,P,578.017620
2023-02-06,3400.370000,2720.296000,0.082192,C,691.230359
2023-02-06,3400.370000,2720.296000,0.082192,P,0.000000
2023-02-06,3400.370000,3060.333000,0.082192,C,352.632373
2023-02-06,3400.370000,3060.333000,0.082192,P,0.044469
2023-02-06,3400.370000,3400.370000,0.082192,C,56.660307
2023-02-06,3400.370000,3400.370000,0.082192,P,42.714858
2023-02-06,3400.370000,3740.407000,0.082192,C,0.259240
2023-02-06,3400.370000,3740.407000,0.082192,P,324.956246
2023-02-06,3400.370000,4080.444000,0.082192,C,0.000012
2023-02-06,3400.370000,4080.444000,0.082192,P,663.339474
2023-02-06,3400.370000,2720.296000,0.246575,C,713.410301
2023-02-06,3400.370000,2720.296000,0.246575,P,0.004299
2023-02-06,3400.370000,3060.333000,0.246575,C,380.000423
2023-02-06,3400.370000,3060.333000,0.246575,P,2.464920
2023-02-06,3400.370000,3400.370000,0.246575,C,107.607922
2023-02-06,3400.370000,3400.370000,0.246575,P,65.942919
2023-02-06,3400.370000,3740.407000,0.246575,C,9.891442
2023-02-06,3400.370000,3740.407000,0.246575,P,304.096939
2023-02-06,3400.370000,4080.444000,0.246575,C,0.253784
2023-02-06,3400.370000,4080.444000,0.246575,P,630.329780
2023-02-06,3400.370000,2720.296000,0.493151,C,746.552217
2023-02-06,3400.370000,2720.296000,0.493151,P,0.222632
2023-02-06,3400.370000,3060.333000,0.493151,C,423.827006
2023-02-06,3400.370000,3060.333000,0.493151,P,9.252473
2023-02-06,3400.370000,3400.370000,0.493151,C,165.614126
2023-02-06,3400.370000,3400.370000,0.493151,P,82.794644
2023-02-06,3400.370000,3740.407000,0.493151,C,38.418250
2023-02-06,3400.370000,3740.407000,0.493151,P,287.353821
2023-02-06,3400.370000,4080.444000,0.493151,C,5.104585
2023-02-06,3400.370000,4080.444000,0.493151,P,585.795207
2023-02-07,3404.810000,2723.848000,0.082192,C,692.132926
2023-02-07,3404.810000,2723.848000,0.082192,P,0.000000
2023-02-07,3404.810000,3064.329000,0.082192,C,353.092762
2023-02-07,3404.810000,3064.329000,0.082192,P,0.044470
2023-02-07,3404.810000,3404.810000,0.082192,C,56.729012
2023-02-07,3404.810000,3404.810000,0.082192,P,42.765355
2023-02-07,3404.810000,3745.291000,0.082192,C,0.259332
2023-02-07,3404.810000,3745.291000,0.082192,P,325.380308
2023-02-07,3404.810000,4085.772000,0.082192,C,0.000012
2023-02-07,3404.810000,4085.772000,0.082192,P,664.205623
2023-02-07,3404.810000,2723.848000,0.246575,C,714.341821
2023-02-07,3404.810000,2723.848000,0.246575,P,0.004296
2023-02-07,3404.810000,3064.329000,0.246575,C,380.494988
2023-02-07,3404.810000,3064.329000,0.246575,P,2.466522
2023-02-07,3404.810000,3404.810000,0.246575,C,107.739444
2023-02-07,3404.810000,3404.810000,0.246575,P,66.020037
2023-02-07,3404.810000,3745.291000,0.246575,C,9.900534
2023-02-07,3404.810000,3745.291000,0.246575,P,304.490187
2023-02-07,3404.810000,4085.772000,0.246575,C,0.253839
2023-02-07,3404.810000,4085.772000,0.246575,P,631.152551
2023-02-07,3404.810000,2723.848000,0.493151,C,747.526789
2023-02-07,3404.810000,2723.848000,0.493151,P,0.222691
2023-02-07,3404.810000,3064.329000,0.493151,C,424.376246
2023-02-07,3404.810000,3064.329000,0.493151,P,9.260386
2023-02-07,3404.810000,3404.810000,0.493151,C,165.817989
2023-02-07,3404.810000,3404.810000,0.493151,P,82.890367
2023-02-07,3404.810000,3745.291000,0.493151,C,38.458938
2023-02-07,3404.810000,3745.291000,0.493151,P,287.719554
2023-02-07,3404.810000,4085.772000,0.493151,C,5.108502
2023-02-07,3404.810000,4085.772000,0.493151,P,586.557355
2023-02-08,3417.010000,2733.608000,0.082192,C,694.612953
2023-02-08,3417.010000,2733.608000,0.082192,P,0.000000
2023-02-08,3417.010000,3075.309000,0.082192,C,354.356098
2023-02-08,3417.010000,3075.309000,0.082192,P,0.042776
2023-02-08,3417.010000,3417.010000,0.082192,C,56.762897
2023-02-08,3417.010000,3417.010000,0.082192,P,42.749205
2023-02-08,3417.010000,3758.711000,0.082192,C,0.252343
2023-02-08,3417.010000,3758.711000,0.082192,P,326.538282
2023-02-08,3417.010000,4100.412000,0.082192,C,0.000011
2023-02-08,3417.010000,4100.412000,0.082192,P,666.585581
2023-02-08,3417.010000,2733.608000,0.246575,C,716.901189
2023-02-08,3417.010000,2733.608000,0.246575,P,0.004073
2023-02-08,3417.010000,3075.309000,0.246575,C,381.806523
2023-02-08,3417.010000,3075.309000,0.246575,P,2.423518
2023-02-08,3417.010000,3417.010000,0.246575,C,107.837103
2023-02-08,3417.010000,3417.010000,0.246575,P,65.968209
2023-02-08,3417.010000,3758.711000,0.246575,C,9.813161
2023-02-08,3417.010000,3758.711000,0.246575,P,305.458377
2023-02-08,3417.010000,4100.412000,0.246575,C,0.245866
